# Generated by AstrophysicsAugmentationPipeline
# Export date: 2025-12-26T18:39:56.069046
#
P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED
0.359,0.047,0.344,0.25,0.0,0.0,0.641,0.134,0.866
0.441,0.029,0.0,0.265,0.265,0.0,0.294,0.294,0.407
0.776,0.03,0.0,0.164,0.03,0.0,0.194,0.444,0.506
0.63,0.0,0.0,0.333,0.019,0.019,0.333,0.63,0.333
0.24600000000000002,0.526,0.0,0.193,0.035,0.0,0.719,0.061000000000000006,0.898
0.1,0.0,0.167,0.46699999999999997,0.267,0.0,0.633,0.033,0.685
0.9699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.9679999999999999,0.0
0.692,0.038,0.0,0.231,0.038,0.0,0.269,0.692,0.269
0.102,0.0,0.034,0.864,0.0,0.0,0.898,0.019,0.981
0.303,0.121,0.182,0.333,0.061,0.0,0.636,0.111,0.817
0.968,0.0,0.0,0.032,0.0,0.0,0.032,0.962,0.038
0.571,0.029,0.0,0.171,0.2,0.029,0.2,0.555,0.216
0.065,0.032,0.871,0.032,0.0,0.0,0.935,0.015,0.985
0.588,0.029,0.029,0.206,0.11799999999999998,0.029,0.265,0.239,0.527
0.14,0.053,0.035,0.614,0.105,0.053,0.702,0.107,0.734
0.227,0.0,0.091,0.682,0.0,0.0,0.773,0.07,0.93
0.762,0.032,0.048,0.143,0.016,0.0,0.222,0.288,0.676
0.404,0.0,0.154,0.269,0.154,0.019,0.423,0.196,0.595
0.25,0.0,0.071,0.661,0.018,0.0,0.732,0.092,0.888
0.826,0.0,0.0,0.13,0.043,0.0,0.13,0.55,0.379
0.529,0.147,0.029,0.206,0.088,0.0,0.382,0.178,0.687
0.517,0.034,0.19,0.259,0.0,0.0,0.483,0.517,0.483
0.378,0.0,0.324,0.216,0.054,0.027,0.541,0.077,0.81
0.455,0.091,0.303,0.12100000000000001,0.03,0.0,0.515,0.098,0.856
0.718,0.051,0.077,0.128,0.026,0.0,0.256,0.218,0.724
0.289,0.0,0.474,0.211,0.026,0.0,0.684,0.11,0.859
0.8,0.0,0.0,0.0,0.1,0.1,0.0,0.8,0.0
0.792,0.0,0.0,0.083,0.125,0.0,0.083,0.778,0.096
0.781,0.0,0.031,0.125,0.062,0.0,0.156,0.355,0.506
0.877,0.018,0.0,0.07,0.018,0.018,0.088,0.87,0.094
0.371,0.086,0.086,0.457,0.0,0.0,0.629,0.078,0.922
0.481,0.037,0.0,0.333,0.148,0.0,0.37,0.19,0.605
0.763,0.0,0.034,0.153,0.05099999999999999,0.0,0.186,0.692,0.255
0.2,0.0,0.167,0.6,0.033,0.0,0.767,0.03,0.931
0.466,0.086,0.034,0.328,0.069,0.017,0.448,0.272,0.628
0.508,0.051,0.017,0.305,0.11900000000000001,0.0,0.373,0.369,0.501
0.765,0.029,0.029,0.088,0.088,0.0,0.147,0.661,0.243
0.824,0.029,0.0,0.088,0.029000000000000005,0.029,0.118,0.475,0.406
0.815,0.0,0.0,0.148,0.037,0.0,0.148,0.53,0.41
0.625,0.125,0.0,0.125,0.125,0.0,0.25,0.338,0.483
0.48599999999999993,0.0,0.057,0.029,0.357,0.0,0.086,0.486,0.086
0.515,0.03,0.03,0.030000000000000002,0.03,0.364,0.091,0.501,0.104
0.893,0.0,0.036,0.036,0.036,0.0,0.071,0.891,0.074
0.6,0.0,0.029,0.229,0.143,0.0,0.257,0.521,0.331
0.615,0.0,0.038,0.231,0.11499999999999999,0.0,0.269,0.406,0.452
0.0,0.0,0.0,0.0,0.357,0.036,0.0,0.0,0.0
0.676,0.027,0.0,0.135,0.027,0.135,0.162,0.626,0.208
0.012,0.0,0.025,0.864,0.049,0.049,0.889,0.003,0.897
0.853,0.029,0.0,0.05899999999999999,0.05899999999999999,0.0,0.088,0.645,0.267
0.806,0.0,0.0,0.161,0.032,0.0,0.161,0.806,0.161
0.765,0.0,0.0,0.176,0.05899999999999999,0.0,0.176,0.693,0.246
0.778,0.037,0.0,0.056,0.13,0.0,0.093,0.562,0.248
0.125,0.667,0.0,0.208,0.0,0.0,0.875,0.045,0.955
0.847,0.0,0.017,0.017,0.085,0.034,0.034,0.756,0.1
0.85,0.0,0.0,0.1,0.05,0.0,0.1,0.828,0.121
0.655,0.0,0.0,0.103,0.138,0.103,0.103,0.584,0.16
0.562,0.031,0.094,0.188,0.125,0.0,0.312,0.393,0.464
0.176,0.294,0.118,0.412,0.0,0.0,0.824,0.034,0.966
0.636,0.0,0.0,0.061,0.303,0.0,0.061,0.636,0.061
0.765,0.078,0.0,0.078,0.05899999999999999,0.02,0.157,0.471,0.403
0.88,0.0,0.0,0.08,0.04,0.0,0.08,0.683,0.257
0.742,0.0,0.032,0.129,0.097,0.0,0.161,0.351,0.459
0.0,0.0,0.9409999999999998,0.0,0.0,0.02,0.98,0.0,0.98
0.536,0.0,0.071,0.393,0.0,0.0,0.464,0.24899999999999997,0.751
0.462,0.077,0.0,0.135,0.173,0.154,0.212,0.227,0.343
